Match URL,Team 1,Team 2,Score 1,Score 2,Event,Date
https://www.hltv.org/matches/2379751/cybershoke-vs-forze-reload-yalla-compass-winter-2025,CYBERSHOKE,FORZE Reload,2,0,YaLLa Compass Winter 2025,2025-02-27
https://www.hltv.org/matches/2379770/atox-vs-eruption-mesa-asian-masters-2025-asia-closed-qualifier,ATOX,Eruption,2,1,MESA Asian Masters 2025 Asia Closed Qualifier,2025-02-27
https://www.hltv.org/matches/2380008/flshbck-vs-big-w-skyesports-souvenir-national-championship-2025,Flshbck,Big W,2,0,Skyesports Souvenir National Championship 2025,2025-02-27
https://www.hltv.org/matches/2379783/change-the-game-vs-dogevil-mesa-asian-masters-2025-china-closed-qualifier,Change The Game,DogEvil,0,2,MESA Asian Masters 2025 China Closed Qualifier,2025-02-27
https://www.hltv.org/matches/2379523/lag-vs-legacy-esl-challenger-league-season-49-north-america,LAG,Legacy,9,13,ESL Challenger League Season 49 North America,2025-02-26
https://www.hltv.org/matches/2379526/vagrants-vs-getting-info-esl-challenger-league-season-49-north-america,Vagrants,Getting Info,13,9,ESL Challenger League Season 49 North America,2025-02-26
https://www.hltv.org/matches/2379527/bad-news-capybaras-vs-incontrol-esl-challenger-league-season-49-north-america,Bad News Capybaras,InControl,13,11,ESL Challenger League Season 49 North America,2025-02-26
https://www.hltv.org/matches/2379528/super-evil-gang-vs-chill-guys-esl-challenger-league-season-49-north-america,SUPER EVIL GANG,Chill Guys,10,13,ESL Challenger League Season 49 North America,2025-02-26
https://www.hltv.org/matches/2379525/marsborne-vs-bluejays-esl-challenger-league-season-49-north-america,Marsborne,BLUEJAYS,13,3,ESL Challenger League Season 49 North America,2025-02-26
https://www.hltv.org/matches/2379827/flyquest-red-vs-lumen-fe-esl-impact-league-season-7-north-america,FlyQuest RED,Lumen fe,2,1,ESL Impact League Season 7 North America,2025-02-26
https://www.hltv.org/matches/2379812/yawara-vs-velox-cct-season-2-south-america-series-8,Yawara,VELOX,2,1,CCT Season 2 South America Series 8,2025-02-26
https://www.hltv.org/matches/2379516/legacy-vs-lag-esl-challenger-league-season-49-north-america,Legacy,LAG,13,9,ESL Challenger League Season 49 North America,2025-02-26
https://www.hltv.org/matches/2379519/getting-info-vs-vagrants-esl-challenger-league-season-49-north-america,Getting Info,Vagrants,13,11,ESL Challenger League Season 49 North America,2025-02-26
https://www.hltv.org/matches/2379520/incontrol-vs-bad-news-capybaras-esl-challenger-league-season-49-north-america,InControl,Bad News Capybaras,9,13,ESL Challenger League Season 49 North America,2025-02-26
https://www.hltv.org/matches/2379521/chill-guys-vs-super-evil-gang-esl-challenger-league-season-49-north-america,Chill Guys,SUPER EVIL GANG,13,9,ESL Challenger League Season 49 North America,2025-02-26
